Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Promoting Healthy Attitudes and Behaviors in Youth Who Experience Homelessness: Results of a Longitudinal Intervention Study,"Rew, L.; Slesnick, N.; Johnson, K.; Sales, A.","Purpose: The aim of this study is to determine the effectiveness of a brief intervention to promote responsible substance use and safe sex behaviors in youths experiencing homelessness (YEH). Methods: DESIGN: A Solomon four-group (double randomized controlled trial) longitudinal design with repeated measures (3- and 6-month follow-ups) was used in drop-in centers for YEH in Austin, Texas and Columbus, Ohio from which 602 youths, 18-24 years-old (M = 21 ± 1.8), 50% white; 69.9% heterosexual were recruited. A manualized one-on-one intervention consisted of six modules delivered via laptop computers. Modules focused on communication, goal-setting, substance use refusal, safe sex behaviors, enhanced psychological capital (hope, optimism, resilience, self-efficacy, gratitude), and life satisfaction. Valid and reliable measures of hope, optimism, future time perspective, resilience, social connectedness, gratitude, condom intention, self-efficacy for safe sex, safe sex behaviors, self-efficacy for substance use refusal, and life satisfaction were used to collect data for which three hypotheses were tested, using intent to treat, with multi-level modeling (R). Results: The analysis showed partial support for all hypotheses: (1) post-test outcomes were greater than pretests; (2) intervention group outcomes were greater than control group measures; and (3) significant effects for pretesting. YEH in Ohio completed significantly more sessions than YEH in Texas (p = .001), but took significantly longer to complete all six sessions (p = .001). Discussion: This brief intervention had significant effects on YEH to promote healthy attitudes and behaviors that merit further testing in larger samples. © 2022 Society for Adolescent Health and Medicine",2022,,J. Adolesc. Health,70,6,942-949,,10.1016/j.jadohealth.2021.12.025,,#859,Rew 2022,,
"A Benefit-Cost Analysis of BackTrack, a Multi-Component, Community-Based Intervention for High-Risk Young People in a Rural Australian Setting","Deeming, S.; Edmunds, K.; Knight, A.; Searles, A.; Shakeshaft, A.P.; Doran, C.M.","BackTrack is a multi-component, community-based program designed to build capacity amongst high-risk young people. The aim of this study was to conduct a benefit-cost analysis of BackTrack, which was implemented in Armidale, a rural town in New South Wales, Australia. Costs and benefits were identified, measured and valued in 2016 Australian dollars. Costs were estimated from program financial and administrative records. Benefits were estimated using a pre-post design and conservative economic assumptions. Benefits included education attendance or completion; employment; engagement with health service providers; reduced homelessness; economic productivity; reduced vandalism to local infrastructure; reduced youth crime; reduced engagement with the justice system; and program income generated by participants. The counterfactual baseline was zero educational outcome, based on discussions with BackTrack staff and expert informants. We tested this assumption compared to the assumption that participants had a Year 8 education. There was evidence of significant quantifiable improvements in several outcomes: high school attendance or completion, vocational education attendance or completion, unskilled or vocationally qualified employment and economic productivity. Reduced homelessness, engagement with health services and acquisition of job readiness skills, as well as reduced local infrastructure vandalism and reduced crime were further quantifiable improvements. The net social benefit of BackTrack was estimated at $3,267,967 with a benefit-cost ratio of 2.03, meaning that every dollar invested in BackTrack would return $2.03 in benefits. BackTrack represents a viable funding option for a government interested in addressing the needs of high-risk young people. © 2022 by the authors.",2022,,Int. J. Environ. Res. Public Health,19,16,,,10.3390/ijerph191610273,,#866,Deeming 2022,,
Feasibility of a computer-assisted social network motivational interviewing intervention to reduce substance use and increase supportive connections among emerging adults transitioning from homelessness to housing,"Kennedy, D.P.; Osilla, K.C.; Tucker, J.S.","Background: Social networks may play positive and negative roles in the lives of young adults experiencing homelessness (YEH) who are transitioning into housing. Social networks can influence their alcohol and/or other drug (AOD) use, as well as provide immediate and long-term support necessary for a successful transition. Methods: We adapted a four-session computer-assisted motivational interviewing social network intervention (MI-SNI) for YEH transitioning into housing. We iteratively adapted and beta tested the intervention for delivery by case managers at an organization that provides supportive housing to YEH. We conducted a focus group with agency staff (n = 6), role-play exercises with case managers (n = 3), and semi-structured interviews with residents (n = 6). Interview data were thematically analyzed with open coding. This study presents the first adaptation of an innovative social network-based motivational intervention to reduce AOD use and increase stable, prosocial supportive connections via visualizations of the structure and composition of the individual’s social network. Results: Participants rated sessions as “moderately” to “very” helpful and “good” quality on average. Participants agreed that the sessions were helpful, understandable, and satisfying and would work for new residents. Themes emerged in four broad categories: (1) Acceptability, (2) Positive benefits, (3) Visualization reactions, and (4) MI-SNI interface reactions. For the acceptability category, three sub-themes emerged: (1) understandability, (2) enjoyability and ease of use, (3) and barriers to acceptability. Five sub-themes emerged about the intervention’s likelihood to trigger positive benefits: (1) learning/new insights, (2) enhancement to motivation to change, (3) making AOD changes, (4) building social support, and (5) the intervention’s usefulness to some but not others. Five sub-themes also emerged from comments about the social network visualizations: (1) general positive comments, (2) understandability, (3) new insights, (4) triggering changes in social support, and (5) triggering changes in AOD use. When discussing the MI-SNI intervention interface beyond the visualizations, discussions emerged in three thematic categories: (1) discussion of name listing, (2) discussion of screen wording, and (3) the use of a computer interface to deliver the intervention. Conclusions: Results suggest that the MI-SNI is acceptable to YEH and can be feasibly delivered by case managers during case management sessions. Trial registration ClinicalTrials.gov Identifier: NCT04637815. Registered November 10, 2020. © 2022, The Author(s).",2022,,Addict. Sci. Clin. Pract.,17,1,,,10.1186/s13722-022-00307-4,,#910,Kennedy 2022,,
Characteristics Associated with Housing Loss Among Youth in a Rapid Rehousing Program,"Youngbloom, A.J.; Farnish, K.A.; Schoenfeld, E.A.","Housing First programs, such as rapid rehousing, are a well-established approach to addressing homelessness among adults, yet there remains a lack of research demonstrating the ability of such services to effectively promote housing stability among youth. Given the paucity of work examining the factors associated with housing stability for formerly homeless youth, the current exploratory study was conducted to determine the characteristics associated with housing loss (i.e., due to evictions or notices to vacate) among youth (N = 60) housed through a rapid rehousing program. Data collected through service delivery at an agency in Austin, Texas, were examined as part of this analysis, including sociodemographic information, mental health and substance misuse, and other background and psychosocial factors. Stepwise regression analyses revealed significant positive associations between youth’s loss of housing and the following three factors: (1) foster care history; (2) identifying as lesbian, gay, bisexual, transgender, or questioning (LGBTQ); and (3) depression. Results from this study highlight the need for more tailored support for youth who have a history of foster care involvement, identify as LGBTQ, or are experiencing depression as they exit homelessness through a rapid rehousing program. Ensuring adequate and appropriate formal and informal support for these youth can improve the efforts of rapid rehousing programs in promoting housing stability. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.",2022,,Child Adolesc. Soc. Work J.,39,4,471-483,,10.1007/s10560-021-00751-2,,#917,Youngbloom 2022,,
Homeless youth shelters and services for transgender and gender non-conforming (TGNC) clients: Results from a nationwide survey,"Bowers, P.H.; Aguiniga, D.M.; Reamer, D.; Reynolds, J.","This study explored results from a nationwide survey conducted with homeless youth shelter directors. The research sought to further the understanding of how policy and societal changes about gender affirming access to services have affected service delivery and accommodations at homeless youth shelters for transgender and gender non-conforming (TGNC) youth. Results from (n = 117) youth shelters indicate the majority of those surveyed are current in implementing many of the Housing and Urban Development (HUD) gender affirming policies. Among others, recommendations include a need for shelters to incorporate TGNC safety accommodations, and to update dress code policies from a universal design perspective. © 2022 Taylor & Francis Group, LLC.",2023,,J. Gay Lesbian Soc. Serv.,35,3,298-312,,10.1080/10538720.2022.2072440,,#925,Bowers 2023,,
Substance Use and Mental Health Outcomes from a Text Messaging-Based Intervention for Smoking Cessation Among Young People Experiencing Homelessness,"Pedersen, E.R.; Linnemayr, S.; Shadel, W.G.; Zutshi, R.; Deyoreo, M.; Cabreros, I.; Tucker, J.S.","Introduction: Cigarette smoking and associated high-risk behaviors are prevalent among youth experiencing homelessness (YEH), making appropriately tailored interventions targeting smoking behavior important for this group. We pilot tested a brief text-messaging intervention (TMI) as an adjunct to standard care for YEH who smoke and found promising preliminary effects of the intervention on smoking cessation. The purpose of the present study was to test the TMI's effect on the secondary outcomes of other substance use (including use of other tobacco/nicotine devices) and mental health symptoms. Methods: A total of 77 participants completed the pilot randomized controlled trial, with 40 receiving the TMI (174 automated text messages plus a group smoking counseling session and provision of nicotine patches). They completed an assessment at baseline and another three months later that evaluated use of other tobacco/nicotine devices, alcohol, marijuana, and anxiety and depression symptoms. Results: We found that the TMI helped to reduce secondary substance use behaviors and mental health symptoms among the participants; mainly there were medium effects of the intervention on changes in other tobacco/nicotine use, drinking, and anxiety and depression symptoms. The intervention did not have an effect on number of marijuana use days in the past month; however, past 30-day marijuana users who received the intervention benefited by reducing the number of times they used marijuana per day. Conclusions: In addition to helping reduce cigarette smoking, we found that a TMI for YEH was helpful in improving secondary outcomes, suggesting the promise of the TMI on benefiting YEH even beyond targeted smoking behavior. Implications: This pilot study demonstrates that by targeting cigarette smoking using a text message-based intervention among youth experiencing homelessness, effects may be seen in other areas of functioning such as other substance use and mental health. Trial registration: ClinicalTrials.gov Identifier NCT03874585. Registered March 14, 2019, https://clinicaltrials.gov/ct2/show/record/NCT03874585. © 2021 The Author(s). Published by Oxford University Press on behalf of the Society for Research on Nicotine and Tobacco. All rights reserved.",2022,,Nicotine Tob. Res.,24,1,130-134,,10.1093/ntr/ntab160,,#960,Pedersen 2022,,
"A Peer-Led, Artificial Intelligence-Augmented Social Network Intervention to Prevent HIV Among Youth Experiencing Homelessness","Rice, E.; Wilder, B.; Onasch-Vera, L.; Diguiseppi, G.; Petering, R.; Hill, C.; Yadav, A.; Lee, S.-J.; Tambe, M.","Background:Youth experiencing homelessness (YEH) are at elevated risk of HIV/AIDS and disproportionately identify as racial, ethnic, sexual, and gender minorities. We developed a new peer change agent (PCA) HIV prevention intervention with 3 arms: (1) an arm using an artificial intelligence (AI) planning algorithm to select PCAs; (2) a popularity arm, the standard PCA approach, operationalized as highest degree centrality (DC); and (3) an observation-only comparison group.Setting:A total of 713 YEH were recruited from 3 drop-in centers in Los Angeles, CA.Methods:Youth consented and completed a baseline survey that collected self-reported data on HIV knowledge, condom use, and social network information. A quasi-experimental pretest/posttest design was used; 472 youth (66.5% retention at 1 month postbaseline) and 415 youth (58.5% retention at 3 months postbaseline) completed follow-up. In each intervention arm (AI and DC), 20% of youth was selected as PCAs and attended a 4-hour initial training, followed by 7 weeks of half-hour follow-up sessions. Youth disseminated messages promoting HIV knowledge and condom use.Results:Using generalized estimating equation models, there was a significant reduction over time (P < 0.001) and a significant time by AI arm interaction (P < 0.001) for condomless anal sex act. There was a significant increase in HIV knowledge over time among PCAs in DC and AI arms.Conclusions:PCA models that promote HIV knowledge and condom use are efficacious for YEH. Youth are able to serve as a bridge between interventionists and their community. Interventionists should consider working with computer scientists to solve implementation problems.  Copyright © 2021 The Author(s).",2021,,J. Acquired Immune Defic. Syndr.,88,,S20-S26,,10.1097/QAI.0000000000002807,,#963,Rice 2021,,
Motivational network intervention to reduce substance use and increase supportive connections among formerly homeless emerging adults transitioning to housing: study protocol for a pilot randomized controlled trial,"Tucker, J.S.; Kennedy, D.P.; Osilla, K.C.; Golinelli, D.","Background: Studies indicate high rates of substance use among youth experiencing homelessness (YEH). Further, the social networks of YEH, although multi-dimensional in composition, are largely comprised of other YEH, substance users, and individuals who do not provide the youth with tangible or emotional support. For YEH who have the opportunity to enter a housing program, helping them to reduce their substance use and strengthen their prosocial supportive connections during this critical transition period may increase their stability and reduce their risk of re-entering homelessness. The goal of this study is to pilot test a brief motivational network intervention (MNI), delivered by case managers, to help former YEH who have recently transitioned to a housing program reduce their substance use and strengthen their prosocial supportive connections. Methods/design: Up to 60 residents of housing programs in the Los Angeles area will be randomized to receive four sessions of usual case manager support or four sessions of case manager support + MNI. Each MNI session consists of three parts: (1) identifying two goals that are most important for the resident over the next year (e.g., get or keep a job, finish or stay in school, reduce substance use); (2) a network interview with the resident to capture network data pertaining to their interactions in the past 2 weeks; and (3) a discussion between the case manager and the resident of the resulting network visualizations, conducted in a Motivational Interviewing (MI) style, and what role the resident’s network may play in reaching their most important goals over the next year. Discussion: This study addresses a critical gap by pilot testing a computer-assisted MNI, delivered using MI techniques, that can help case managers work with recent YEH to reduce substance use and increase permanent supportive connections during the critical transitional period from homelessness to housing. Trial registration ClinicalTrials.gov Identifier: NCT04637815. Registered November 10, 2020. © 2021, The Author(s).",2021,,Addict. Sci. Clin. Pract.,16,1,,,10.1186/s13722-021-00227-9,,#967,Tucker 2021,,
Challenges and Solutions in Evaluation Technical Assistance During Design and Early Implementation,"Gothro, A.; Hanno, E.S.; Bradley, M.C.","This case study discusses two federal grant initiatives and the evaluation technical assistance (ETA) provided to the grantees. One program is a multiphase program funded by the Children’s Bureau (CB) within the U.S. Department of Health and Human Services, Administration for Children and Families. The program funded communities interested in preventing homelessness among youth and young adults with child welfare histories. The funder, grantees, and ETA provider call it Youth At-Risk of Homelessness (YARH). Six federal agencies—the U.S. Departments of Education, Health and Human Services, and Labor, the Corporation for National and Community Service, and the Institute for Museum and Library Services—supported the second initiative known as Performance Partnership Pilots for Disconnected Youth (P3). We discuss the programs together as they share common features including a focus on building evidence, a focus on disconnected youth, use of liaisons to work with grantees who are developing interventions and planning or conducting evaluations at the same time, and having the same liaisons provide ETA to both the grantee/service providing group and the local evaluator. The article discusses (1) the grant programs, (2) details about ETA including its funding and provision, (3) details about the success and utilization of ETA, (4) benefits of ETA, and (5) balancing program or initiative requirements and evaluation needs and concludes with (6) thoughts on how to make ETA successful. © The Author(s) 2020.",2022,,Eval. Rev.,46,1,31-Oct,,10.1177/0193841X20911527,,#1006,Gothro 2022,,
How do peer support workers value self-directed growth over conventional change goals among young people experiencing homelessness?,"Erangey, J.; Marvin, C.; Littman, D.M.; Bender, K.; Mollica, M.; Milligan, T.; Lucas, T.","The aim of this study is to explore how peer support workers (individuals with similar lived experiences employed to provide support) conceptualize change work with young people experiencing homelessness. The present study used participatory qualitative methods, including semistructured interviews and journaling with peer support workers and program supervisors and administrators, to understand how peers understand change work with young people experiencing homelessness. This study found that peers center self-directed growth among young people experiencing homelessness, rather than change that prioritizes meeting program-directed outcomes such as obtaining housing or gaining employment. Peer relationships invite possibility and create containers of hope when supporting young people experiencing homelessness, regardless of their paths. Lastly, peers recognize that growth happens in seasons, and embrace such seasons as checkpoints on youths' journeys. Such findings may guide service providers beginning peer programming or those considering models for engaging young people experiencing homelessness in relationship-supported growth. © 2021 Wiley Periodicals LLC.",2022,,J. Community Psychol.,50,4,1935-1951,,10.1002/jcop.22649,,#1013,Erangey 2022,,
Cultural adaptation considerations of a comprehensive housing outreach program for indigenous youth exiting homelessness,"Lund, J.I.; Toombs, E.; Mushquash, C.J.; Pitura, V.; Toneguzzi, K.; Bobinski, T.; Leon, S.; Vitopoulos, N.; Frederick, T.; Kidd, S.A.","Generalist health interventions that aim to reduce chronic health disparities between Indigenous and non-Indigenous populations can be culturally adapted to better meet the needs of Indigenous people in Canada; however, little is known regarding best practices in implementing these adaptations. The present study first provides a review of the research process used to adapt a previous evidence-based housing initiative for Indigenous youth in Northwestern Ontario. Second, it includes an overview of the adaptations that were made and the associated rationale for such adaptations. Third, it examines the experiences of participants and staff involved in the cultural adaptation of the Housing Outreach Program Collaborative (HOP-C), a health intervention re-designed to improve physical and mental health outcomes, wellbeing, and social support for formerly homeless Indigenous youth as they secure housing. Qualitative feedback from interviews with 15 participants and eight program staff, in addition to one focus group with an additional six frontline workers, described perceived outcomes of the program's cultural adaptations. Modifications to the overall program structure, specific roles within the program (including counseling services, peer mentorship, cultural services, and case management), and adaptations to general implementation within the health organization providing the intervention were described by participants and staff as effective and helpful adaptations. The focus of Indigenous values at an organizational level led to consistent adaptations in counseling and case management to best meet the unique needs of the youth involved. Based upon participant interviews, recommendations to future adaptations are provided. © The Author(s) 2022.",2022,,Transcult. Psychiatry,,,,,10.1177/13634615221135438,,#1019,Lund 2022,,
MYPATH: A novel mindfulness and yoga-based peer leader intervention to prevent violence among youth experiencing homelessness,"Barr, N.; Petering, R.; Onasch-Vera, L.; Thompson, N.; Polsky, R.","Young adults experiencing homelessness (YAEH) are at elevated risk for violence victimization and perpetration. However, there are no evidence-based violence prevention interventions for homeless populations. This study is an evaluation of a novel mindfulness-based peer-leader intervention designed to reduce violence and improve mindfulness in YAEH. A social network of YAEH receiving services at a drop-in agency was recruited in Summer 2018 (n = 106) and peer-leaders identified at baseline (n = 12). Peer leaders were trained in mindfulness and yoga skills during a 1-day intensive workshop and seven 1-h weekly follow-up workshops and encouraged to share their knowledge with in-network peers. Postintervention data were collected 2 and 3 months after baseline. Two one-way repeated-measures analyses of variance (ANOVAs) tested differences in means for mindfulness and fighting. ANOVA models showed significant increases in group mean mindfulness F(2, 110) = 3.42, p < 0.05 and significant decreases in group mean violent behavior F(2, 112) = 5.23, p < 0.01 at the network level. Findings indicate a network-based, peer-leader model can be effective for influencing complex, socially conditioned attitudes and behaviors among YAEH. Additional advantages of the peer-leader model include relatively few direct-service person-hours required from providers and convenience to participants able practice skills in their relevant social contexts. © 2021 Wiley Periodicals LLC.",2022,,J. Community Psychol.,50,4,1952-1965,,10.1002/jcop.22661,,#1025,Barr 2022,,
"The My Strengths Training for Life™ program: Rationale, logic model, and description of a strengths-based intervention for young people experiencing homelessness","Cumming, J.; Whiting, R.; Parry, B.J.; Clarke, F.J.; Holland, M.J.G.; Cooley, S.J.; Quinton, M.L.","Traditionally, UK housing services have focused on providing temporary accommodation, identifying risk factors, and preventing negative outcomes to young people experiencing homelessness. However, deficit approaches may lead young people to becoming dependent on services and face greater marginalization and stigmatization. Meeting long-standing calls to focus more on young people's positive attributes and abilities, the My Strengths Training for Life™ (MST4Life™) program was developed as a community partnership with a large housing service. This paper describes the rationale, logic model, and content of the MST4Life™ program using the TIDieR (Template for Intervention Description and Replication) checklist. MST4Life™ is a strengths-based and experiential psychoeducation intervention for young people aged 16–24 years who are homeless or at risk. Grounded in positive youth development and basic psychological needs theory, its aim is to provide meaningful opportunities for participants to recognize, use, and further develop their mental skills and strengths. In turn, enhancing intentional self-regulation is expected to improve physical, mental, and social health and wellbeing, and support positive transitions to independent living. The potential long-term impacts include a reduction in the number of young people returning as homeless, lower rates of mental illness and mortality, and a cost saving to the public purse. © 2022 Elsevier Ltd",2022,,Eval. Program Plann.,91,,,,10.1016/j.evalprogplan.2021.102045,,#1036,Cumming 2022,,
"Improving access for the vulnerable: a mixed-methods feasibility study of a pop-up model of care in south-eastern Melbourne, Australia","Russell, G.; Westbury, S.; Clifford, S.; Sturgiss, E.; Fragkoudi, A.; Macindoe, R.; Stuart, D.; Kunin, M.; Walsh, J.; Scott, C.","Access to appropriate health and social care is challenging for vulnerable populations. We used a 'pop-up' delivery model to bring community-based services in contact with communities with poor access to health and social care. Our aim was to examine whether pop-up events improve access to essential health and social support services for selected vulnerable communities and increase collaboration between community-based health and social services. Set in south-eastern Melbourne, two pop-up events were held, one with people at risk of homelessness attending a community lunch and the other with South Sudanese women helping at-risk youth. Providers represented 20 dental, housing, justice, employment and mental health services. We made structured observations of each event and held semi-structured interviews with consumers and providers. Pre-post surveys of managers assessed acceptability and perceived impact. We reached 100 community participants who had multiple needs, particularly for dentistry. Following the events, participants reported increased knowledge of services and access pathways, community members spoke of increased trust and partnerships between service providers were fostered. The pop-up model can increase provider collaboration and provide new options for vulnerable populations to access needed services. 'Bringing the service to the person' is a compelling alternative to asking consumers to negotiate complex access pathways.  © 2022 Journal Compilation",2022,,Aust. J. Prim. Health,28,2,143-150,,10.1071/PY21188,,#1091,Russell 2022,,
"Illicit Drug Use, Cognitive Distortions, and Suicidal Ideation Among Homeless Youth: Results From a Randomized Controlled Trial","Wu, Q.; Zhang, J.; Walsh, L.; Slesnick, N.","Illicit drug use and cognitive distortions confer significant risks to youth suicidal thoughts and behaviors. However, there has been limited evidence regarding the efficacy of suicide prevention interventions with homeless youth, especially studies testing whether such interventions can reduce the risk for suicidal ideation associated with illicit drug use. Suicidal homeless youth (N = 150) between the ages of 18 to 24 years were recruited from a drop-in center. Youth were randomly assigned to Cognitive Therapy for Suicide Prevention (CTSP) + Treatment as Usual (TAU) or TAU alone. Youth reported their illicit drug use, cognitive distortions, and suicidal ideation 4 times over 9 months. A multiple-group multilevel structural equation model showed that higher illicit drug use at baseline predicted a slower reduction in cognitive distortions and suicidal ideation in the TAU group. These associations were not found in the CTSP + TAU group, suggesting an interruption of such risk from illicit drug use. Findings suggest that CTSP can reduce the risk of illicit drug use as a treatment barrier towards cognitive distortions and suicidal ideation among homeless youth, with implications to improve treatment efforts and to reduce premature mortality in a vulnerable population. © 2021",2022,,Behav. Ther.,53,1,92-104,,10.1016/j.beth.2021.06.004,,#1115,Wu 2022,,
"“Prevention of opioid use disorder: the HOME (housing, opportunities, motivation and engagement) feasibility study”","Kelleher, K.J.; Famelia, R.; Yilmazer, T.; Mallory, A.; Ford, J.; Chavez, L.J.; Slesnick, N.","Young adults experiencing homelessness are at high risk of opioid and other substance use, poor mental health outcomes, exposure to trauma, and other risks. Providing access to stable housing has the potential to act as a powerful preventive intervention, but supportive housing programs have been studied most often among chronically homeless adults or adults with serious mental illness. The Housing First model, which does not precondition supportive housing on sobriety, may reduce drug use in homeless adults. In the present study, we piloted an adapted model of Housing First plus prevention services that was tailored to the needs of young adults (18–24 years) experiencing homelessness in the USA. Preventive services were added to the Housing First model and included youth-centered advocacy services, motivational interviewing, and HIV risk prevention services. This model was piloted in a single-arm study (n = 21) to assess the feasibility, acceptability, and initial efficacy of a Housing First model over a 6-month period in preparation for a larger randomized trial. We use repeated measures ANOVA to test for changes in alcohol and drug use (percent days of use; alcohol or drug use consequences), housing stability, social network support, and cognitive distortions over 6 months of follow-up. A total of 17 youth completed the study (85% retention), and a high proportion of youth were stably housed at 6-month follow-up. Participation in intervention services was high with an average of 13.57 sessions for advocacy, 1.33 for MI, and 0.76 for HIV prevention. Alcohol use did not change significantly over time. However, drug use, drug use consequences, and cognitive distortions, and the size of youths’ social networks that were drug using individuals decreased significantly. The Housing First model appeared to be feasible to deliver, and youth engaged in the supportive intervention services. The study demonstrates the potential for an adapted Housing First model to be delivered to youth experiencing homelessness and may improve outcomes, opening the way for larger randomized trials of the intervention. © 2021, The Author(s).",2021,,Harm Reduct. J.,18,1,,,10.1186/s12954-021-00560-x,,#1118,Kelleher 2021,,
A Feasibility Study of the My Strengths Training for Life™ (MST4Life™) Program for Young People Experiencing Homelessness,"Cumming, J.; Clarke, F.J.; Holland, M.J.G.; Parry, B.J.; Quinton, M.L.; Cooley, S.J.","My Strengths Training for Life™ (MST4Life™) is a positive youth development program for improving wellbeing and social inclusion in young people experiencing homelessness. MST4Life™ addresses a gap in strengths-based programs aimed at promoting healthy and optimal development in vulnerable older adolescents/emerging adults. The program was co-developed with a UK housing service as part of a long-term (>8 years) community–academic partnership. This mixed-methods study describes a key step in developing and evaluating the program: exploring its feasibility and acceptability with 15 homeless young people (Mean age = 19.99 years, SD = 2.42; 60% male, 40% female). Participants experienced 8 weekly sessions within their local community, followed by a 4-day/3-night residential outdoor adventure trip. In addition to their attendance records, the viewpoints of the participants and their support workers were obtained using diary rooms and focus groups. Feasibility was indicated via the themes of attendance, engagement, and reaction. The findings suggested that young people enjoyed and perceived a need for the program, that they considered the program and its evaluation methods to be acceptable, and that both the community-based and outdoor adventure residential phases could be implemented as planned. Minor modifications are needed to recruitment strategies before it is more widely rolled out and evaluated. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",2022,,Int. J. Environ. Res. Public Health,19,6,,,10.3390/ijerph19063320,,#1159,Cumming 2022,,
How Do Youth Use Homeless Shelters?,"Jadidzadeh, A.; Kneebone, R.","This paper uses a large administrative dataset providing 105,149 daily observations on 3,176 youth aged between 18 and 24 years using emergency homeless shelters from January 1, 2014, to December 31, 2019, in Calgary, Alberta, Canada. Using k-mean cluster analysis we classify youth who use emergency homeless shelters by their intensity of shelter use. In Calgary, most youth use homeless shelters as a temporary and infrequent refuge when housing is lost. For these youth, shelters are an effective and relatively inexpensive approach for helping them resolve their homelessness. A significant number, however, rely on shelters for much longer stays. For these youth, shelters are ineffective and expensive responses to their homelessness. To understand how youth are changing their use of shelters over time, we introduce time series measuring first admissions and readmissions to shelters. We show that how youth use shelters, and how that use has changed over time, differs for youth who self-identify as Indigenous, Caucasian and visible minority. © 2021 The Author(s). Published with license by Taylor & Francis Group, LLC.",2022,,J. Pover.,26,4,322-336,,10.1080/10875549.2021.1910106,,#1167,Jadidzadeh 2022,,
"Housing, opportunities, motivation and engagement (HOME) for homeless youth at-risk for opioid use disorder: study protocol for a randomized controlled trial","Slesnick, N.; Chavez, L.; Bunger, A.; Famelia, R.; Ford, J.; Feng, X.; Higgins, S.; Holowacz, E.; Jaderlund, S.; Luthy, E.; Mallory, A.; Martin, J.; Walsh, L.; Yilmazer, T.; Kelleher, K.","Background: Homeless youth experience high rates of substance use disorders, exposures to violence, mental and physical health conditions, and mortality. They have been particularly affected by the opioid crisis. However, no study to date has used a randomized controlled design to test preventive interventions of opioid and other drug use among this vulnerable population. Resolution of youth homelessness through housing and supportive services including prevention services, often referred to as “Housing First,” has great potential to reduce the likelihood for the development of an opioid use disorder as well as other problem behaviors associated with living on the streets. Housing First has been tested through randomized trials among homeless adults with mental health and substance use disorders, but has not been empirically tested for opioid prevention among homeless youth. Methods: Homeless youth will be recruited from a drop-in shelter site frequented by disconnected youth; they will be screened for eligibility, including current homelessness, age 18–24 years, and not currently meeting criteria for opioid use disorder (OUD). In a controlled trial, 240 youth will then be randomized to one of two conditions, (1) housing + opioid and related risk prevention services, or (2) opioid and related risk prevention services alone. This project utilizes existing efficacious models of prevention to address opioid-related risks, including motivational interviewing, strengths-based outreach and advocacy, and an HIV risk preventive intervention. Follow-up will be conducted at 3, 6, 9 and 12-months post-baseline. The economic cost of each intervention will be determined to support implementation decisions with other providers and their funders. Discussion: This study will provide essential information for researchers and providers on the efficacy of housing + opioid and related risk prevention services in an RCT for effects on opioid use and mechanisms underlying change. Because youth experiencing homelessness are at increased risk for a variety of adverse outcomes, the proposed intervention may produce substantial health care benefits to the youths and society at large. Trial registration ClinicalTrials.gov, NCT04135703, Registered October 13, 2019, https://clinicaltrials.gov/ct2/show/NCT04135703?term=NCT04135703&draw=2&rank=1#contacts © 2021, The Author(s).",2021,,Addict. Sci. Clin. Pract.,16,1,,,10.1186/s13722-021-00237-7,,#1168,Slesnick 2021,,
Housing First Combined with Suicide Treatment Education and Prevention (HOME + STEP): study protocol for a randomized controlled trial,"Chavez, L.; Kelleher, K.; Bunger, A.; Brackenoff, B.; Famelia, R.; Ford, J.; Feng, X.; Mallory, A.; Martin, J.; Sheftall, A.; Walsh, L.; Yilmazer, T.; Slesnick, N.","Background: Youth experiencing homelessness are at high risk for suicide, yet few studies have evaluated risk reduction interventions targeting suicidal ideation in this vulnerable population. A comprehensive approach to risk-reduction is needed that addresses basic needs and provides targeted interventions for those at highest risk. The protocol described builds on the design of the first randomized trial of Housing First (HF) for homeless youth. The primary objective is to determine whether housing combined with supportive services that include suicide screening and targeted psychotherapy (Cognitive Therapy for Suicide Prevention) is effective for reducing suicidal ideation and other secondary outcomes (depression and suicide attempts). Additionally, we will explore mediators of the treatment effect (housing stability and substance use) and determinants of implementation. Methods: Youth recruited to the HF trial will be randomized to HF + supportive services (n = 120), or supportive services alone (n = 120). The “Suicide Treatment Education and Prevention” (STEP) protocol will additionally screen youth in both arms at baseline and 3 months for suicidal ideation (SSI-W). Those who screen as moderate risk for suicide (SSI-W ≥ 10) will be offered CTSP, which includes up to 9 sessions over the first 6 months following enrollment. CTSP will be delivered in one-on-one sessions by a trained advocate. Research assessments will be collected to assess outcomes (including suicidal ideation) at baseline, 3, 6, 9 and 12 months. Qualitative interviews with subjects receiving CTSP and other stakeholders will explore implementation determinants. Discussion: The study will fill an important gap in the literature about the added benefit of HF combined with supportive services including suicide screening and treatment for reducing suicidal ideation in homeless youth. With the urgent need to address both homelessness and suicide risk, evidence is needed about services that can be integrated into delivery settings for youth experiencing homelessness. Trial registration: NCT04135703. Date of registration: October 23, 2019. © 2021, The Author(s).",2021,,BMC Public Health,21,1,,,10.1186/s12889-021-11133-9,,#1178,Chavez 2021,,
